Florida Player 1,Florida Player 2,Florida Player 3,Florida Player 4,Florida Player 5,Unnamed: 0,Start Time,Finish Time,Florida Bigs,Opponent Bigs,Florida Starting Score,Florida Ending Score,Opponent Starting Score,Opponent Ending Score,Florida 2PFGM,Florida 2PFGA,Florida PFGM,Florida PFGA,Florida 3PFGM,Florida 3PFGA,Florida FTM,Florida FTA,Florida TO,Florida ORB,Florida DRB,Florida PF,Florida BLK,Opponent 2PFGM,Opponent 2PFGA,Opponent PFGM,Opponent PFGA,Opponent 3PFGM,Opponent 3PFGA,Opponent FTM,Opponent FTA,Opponent TO,Opponent ORB,Opponent DRB,Opponent PF,Opponent BLK,fl_pts,opp_pts,pt_diff,minutes,fl_poss,opp_poss,off_rat,def_rat,net_rat,fl_pace,opp_pace,fl_fga,fl_fgm,fl_fgp,fl_2fgp,fl_pfgp,fl_3fgp,fl_2fgr,fl_pfgr,fl_3pfgr,fl_ftr,opp_fga,opp_fgm,opp_fgp,opp_2fgp,opp_pfgp,opp_3fgp,opp_2pfgr,opp_pfgr,opp_3pfgr,opp_ftr,fl_drebr,fl_orebr,opp_drebr,opp_orebr,fl_tor,opp_tor,fl_blkr,opp_blkr
Chris Chiozza,Egor Koulechov,KeVaughn Allen,Keith Stone,Kevarrius Hayes,1261,31299,28632,46,26,1694,1778,1646,1705,19,47,0,2,9,21,19,24,6,17,26,23,5,12,30,0,4,7,15,14,19,16,7,28,26,3,84,59,25,44.45000000000001,68.4,63.02500000000001,122.80701754385963,93.6136453788179,29.193372165041723,61.552305961754776,56.71541057367829,70,28,0.4,0.40425531914893614,0.0,0.42857142857142855,0.6871345029239766,0.029239766081871343,0.3070175438596491,0.3508771929824561,49,19,0.3877551020408163,0.4,0.0,0.4666666666666667,0.47600158667195547,0.0634668782229274,0.23800079333597773,0.30146767155890514,0.8,0.38202247191011235,0.6292134831460674,0.2153846153846154,0.08771929824561403,0.2538675128917096,0.07933359777865924,0.043859649122807015
Chris Chiozza,Egor Koulechov,KeVaughn Allen,Keith Stone,Mike Okauru,237,2690,2321,0,0,344,362,347,365,3,7,0,0,4,7,0,0,0,4,2,2,0,4,6,0,0,2,2,4,4,1,0,3,2,0,18,18,0,6.1499999999999995,10.0,10.899999999999999,180.0,165.13761467889913,14.862385321100874,65.04065040650407,70.89430894308943,14,7,0.5,0.42857142857142855,,0.5714285714285714,0.7,0.0,0.7,0.0,8,6,0.75,0.6666666666666666,,1.0,0.5504587155963303,0.0,0.1834862385321101,0.3669724770642202,1.0,0.5714285714285714,0.42857142857142855,0.0,0.0,0.09174311926605505,0.0,0.0
Chris Chiozza,Egor Koulechov,KeVaughn Allen,Kevarrius Hayes,Mike Okauru,330,5571,5143,11,4,490,502,425,432,1,5,0,0,3,7,1,2,1,0,9,8,1,1,7,0,1,1,4,2,5,2,2,8,1,0,12,7,5,7.133333333333333,13.95,13.374999999999998,86.02150537634408,52.33644859813084,33.68505677821324,78.22429906542057,74.99999999999999,12,4,0.3333333333333333,0.2,,0.42857142857142855,0.35842293906810035,0.0,0.5017921146953406,0.14336917562724016,12,2,0.16666666666666666,0.14285714285714285,0.0,0.25,0.5233644859813085,0.07476635514018692,0.2990654205607477,0.3738317757009346,0.782608695652174,0.0,0.9411764705882353,0.17391304347826086,0.07168458781362008,0.14953271028037385,0.07476635514018692,0.0
Chris Chiozza,Egor Koulechov,Keith Stone,Kevarrius Hayes,Mike Okauru,153,6462,6116,9,4,295,301,216,221,3,4,0,1,0,2,0,2,2,2,3,3,0,1,5,0,0,0,1,3,3,3,2,3,2,1,6,5,1,5.766666666666666,6.949999999999999,8.425,86.33093525179856,59.34718100890207,26.983754242896495,48.20809248554913,58.439306358381515,7,3,0.42857142857142855,0.75,0.0,0.0,0.5755395683453238,0.14388489208633096,0.2877697841726619,0.2877697841726619,6,1,0.16666666666666666,0.2,,0.0,0.5934718100890207,0.0,0.11869436201780414,0.35608308605341243,0.6,0.4,0.6,0.4,0.2877697841726619,0.35608308605341243,0.0,0.14388489208633096
Chris Chiozza,Egor Koulechov,Keith Stone,Kevaughn Allen,Jalen Hudson,0,1200,1044,0,0,0,12,0,5,1,1,0,0,3,4,1,2,0,0,2,1,0,2,4,0,0,0,0,1,2,1,0,1,1,0,12,5,7,2.6,5.95,5.95,201.68067226890756,84.03361344537815,117.6470588235294,91.53846153846153,91.53846153846153,5,4,0.8,1.0,,0.75,0.1680672268907563,0.0,0.6722689075630252,0.3361344537815126,4,2,0.5,0.5,,,0.6722689075630252,0.0,0.0,0.3361344537815126,0.8,0.0,0.6666666666666666,0.0,0.0,0.1680672268907563,0.0,0.0
Chris Chiozza,Egor Koulechov,Keith Stone,Kevaughn Allen,Kevarrius Hayes,0,1200,1096,0,0,0,0,0,4,0,0,0,0,0,1,0,0,2,0,1,0,0,2,2,0,0,0,1,0,0,0,0,1,1,0,0,4,-4,1.7333333333333334,3.0,3.0,0.0,133.33333333333331,-133.33333333333331,69.23076923076923,69.23076923076923,1,0,0.0,,,0.0,0.0,0.0,0.3333333333333333,0.0,3,2,0.6666666666666666,1.0,,0.0,0.6666666666666666,0.0,0.3333333333333333,0.0,1.0,0.0,1.0,0.0,0.6666666666666666,0.0,0.0,0.0
Chris Chiozza,Gorjok Gak,Jalen Hudson,KeVaughn Allen,Keith Stone,291,11945,11103,19,4,478,501,400,420,3,6,0,1,3,10,8,12,2,4,8,5,0,6,16,0,0,2,6,2,3,1,5,9,6,2,23,20,3,14.033333333333333,19.700000000000003,19.425,116.75126903553297,102.96010296010296,13.791166075430013,56.152019002375305,55.36817102137768,17,6,0.35294117647058826,0.5,0.0,0.3,0.3045685279187817,0.05076142131979695,0.5076142131979695,0.6091370558375634,22,8,0.36363636363636365,0.375,,0.3333333333333333,0.8236808236808236,0.0,0.3088803088803089,0.15444015444015444,0.5517241379310345,0.3076923076923077,0.6923076923076923,0.3448275862068966,0.1015228426395939,0.05148005148005148,0.0,0.1015228426395939
Chris Chiozza,Gorjok Gak,Jalen Hudson,KeVaughn Allen,Kevarrius Hayes,72,1503,1294,6,1,128,141,83,94,2,2,0,0,3,4,0,0,0,0,1,0,0,3,4,0,0,1,1,2,3,0,0,1,0,0,13,11,2,3.4833333333333334,6.0,6.425,216.66666666666666,171.20622568093387,45.46044098573279,68.89952153110048,73.77990430622009,6,5,0.8333333333333334,1.0,,0.75,0.3333333333333333,0.0,0.6666666666666666,0.0,5,4,0.8,0.75,,1.0,0.622568093385214,0.0,0.1556420233463035,0.4669260700389105,0.6666666666666666,0.0,1.0,0.0,0.0,0.0,0.0,0.0
Chris Chiozza,Gorjok Gak,Jalen Hudson,KeVaughn Allen,Mike Okauru,51,1352,1240,2,1,69,70,59,65,0,0,0,1,0,1,1,1,1,0,2,2,0,1,2,0,0,0,1,4,4,0,0,2,1,1,1,6,-5,1.8666666666666667,2.475,4.9,40.4040404040404,122.44897959183672,-82.04493918779632,53.03571428571429,105.0,2,0,0.0,,0.0,0.0,0.0,0.40404040404040403,0.40404040404040403,0.40404040404040403,3,1,0.3333333333333333,0.5,,0.0,0.4081632653061224,0.0,0.2040816326530612,0.8163265306122448,1.0,0.0,1.0,0.0,0.40404040404040403,0.0,0.0,0.40404040404040403
Chris Chiozza,Gorjok Gak,Jalen Hudson,Keith Stone,Mike Okauru,126,2290,2182,5,0,177,182,164,166,2,2,0,0,0,1,1,1,1,1,0,0,0,1,1,0,0,0,0,0,0,2,0,0,1,0,5,2,3,1.8,3.475,3.0,143.88489208633092,66.66666666666666,77.21822541966426,77.22222222222223,66.66666666666666,3,2,0.6666666666666666,1.0,,0.0,0.5755395683453237,0.0,0.28776978417266186,0.28776978417266186,1,1,1.0,1.0,,,0.3333333333333333,0.0,0.0,0.0,,1.0,0.0,,0.28776978417266186,0.6666666666666666,0.0,0.0
